"Name","Season","GamesPlayed","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"NYK","2019-20",66,6519,6983,2007,4024,0.49875745526838966,631,1872,0.3370726495726496,0.33833780160857907,1076,1812,2202,1650,243,0.4514200298953662,0.5055803571428571,0.8716323296354992,0.3175033921302578,0.5193271452846219,0.5009328358208955,0.5300213349588541,430,324,0.0805168986083499,9,0.004807692307692308
"POR","2019-20",74,7442,8508,2170,4224,0.5137310606060606,952,2525,0.37702970297029703,0.379035472299721,1312,1776,2564,1911,945,0.40921658986175113,0.4528301886792453,0.6691176470588235,0.3741295006667654,0.5142770495461985,0.5331160171877315,0.5694892473118279,418,336,0.07954545454545454,28,0.011089108910891089
"DEN","2018-19",82,8004,9075,2536,4813,0.5269062954498234,903,2571,0.35122520420070014,0.3537254901960784,1294,2896,2176,2391,318,0.5709779179810726,0.6222604211431028,0.8826135105204873,0.3481852654387866,0.507348382492864,0.5268824485373781,0.5562530773018217,418,387,0.08040723041761895,20,0.007779074290159471
"MIN","2018-19",82,8237,9223,2586,5126,0.5044869293796332,827,2357,0.3508697496817989,0.3532678342588637,1570,2610,2562,2139,342,0.5046403712296984,0.5548469387755102,0.8621523579201935,0.3149806227448884,0.5098207009784211,0.511359080582654,0.55016782546152,468,435,0.08486149044088959,20,0.00848536274925753
"ORL","2018-19",82,8050,8800,2379,4674,0.5089858793324775,937,2633,0.35586783137105965,0.35900383141762454,1231,2630,2128,2340,471,0.5527532576712905,0.6124825337680484,0.8324439701173959,0.3603394005747913,0.5028338071693449,0.5179280142329273,0.5502446368084306,464,334,0.07145913564398802,28,0.010634257500949488
"NYK","2018-19",82,8150,8575,2311,4820,0.4794605809128631,823,2421,0.3399421726559273,0.34135213604313563,1484,1932,2690,2040,429,0.4180008654262224,0.4633093525179856,0.8262454434993924,0.33434608479491784,0.5174497855264978,0.4896423145974313,0.5271054581378118,452,435,0.09024896265560166,23,0.00950020652622883
"SAC","2018-19",82,8448,9363,2614,5182,0.5044384407564647,927,2455,0.3775967413441955,0.3803857201477226,1354,2650,2578,2274,507,0.5068859984697781,0.5564888702225955,0.8176914778856527,0.32146130679586227,0.5079042750197005,0.5243551132643708,0.5521610420367081,466,406,0.07834812813585489,14,0.005702647657841141
"ATL","2019-20",67,6938,7488,1918,3651,0.5253355245138318,805,2416,0.3331953642384106,0.3347210657785179,1237,2014,1822,1794,621,0.5250260688216892,0.5784032165422172,0.7428571428571429,0.39821987802867975,0.5303130413140866,0.5151640019779133,0.5535528853285863,354,400,0.10955902492467817,28,0.011589403973509934
"ATL","2014-15",82,7706,8409,2303,4547,0.506487794149989,818,2152,0.38011152416356875,0.3808193668528864,1349,2720,1886,2253,201,0.5905340859748155,0.625,0.9180929095354523,0.32124197641439023,0.5217175164473684,0.5269443200477684,0.5611356635864471,254,385,0.08467121178799208,19,0.008828996282527882
"CLE","2014-15",82,7617,8457,2263,4486,0.5044583147570219,826,2253,0.36662228140257436,0.3679750223015165,1453,2302,2224,1989,489,0.5086168802474591,0.5452392231170061,0.8026634382566586,0.33432259979225404,0.527381847275975,0.5196616708710491,0.554947950981684,304,356,0.07935800267498885,12,0.005326231691078562
"NOP","2018-19",82,8452,9466,2739,5114,0.5355885803676182,842,2449,0.34381380155165375,0.34537987679671456,1462,2968,2510,2196,330,0.5418035779481563,0.589590782677791,0.8693586698337292,0.32381330159989424,0.514046593770709,0.5291550971836573,0.5631044776119403,444,423,0.08271411810715683,22,0.00898325847284606
