"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-10-23","MEM",104,126,26,46,0.5652173913043478,17,45,0.37777777777777777,0.38636363636363635,23,22,30,51,0,0.4230769230769231,0.4583333333333333,1,0.4945054945054945,0.5219761111111111,0.5659340659340659,0.6,4,9,0.1956521739130435,0,0
"2024-10-25","GSW",102,127,31,56,0.5535714285714286,20,50,0.4,0.4,5,32,30,57,3,0.5161290322580645,0.6666666666666666,0.95,0.4716981132075472,0.5324580188679245,0.5754716981132075,0.5825688073394495,14,5,0.08928571428571429,0,0
"2024-10-28","DAL",100,110,32,56,0.5714285714285714,11,39,0.28205128205128205,0.28205128205128205,13,38,26,24,9,0.59375,0.7037037037037037,0.7272727272727273,0.4105263157894737,0.5582563157894738,0.5105263157894737,0.5339805825242718,10,5,0.08928571428571429,0,0
"2024-10-29","SAC",98,113,40,61,0.6557377049180327,8,31,0.25806451612903225,0.25806451612903225,9,36,44,24,0,0.45,0.5294117647058824,1,0.33695652173913043,0.5043565217391304,0.5652173913043478,0.576530612244898,12,4,0.06557377049180328,0,0
"2024-10-31","SAS",100,106,26,49,0.5306122448979592,12,43,0.27906976744186046,0.27906976744186046,18,30,22,30,6,0.5769230769230769,0.625,0.8333333333333334,0.4673913043478261,0.5132277173913043,0.4782608695652174,0.5196078431372549,4,6,0.12244897959183673,0,0
"2024-11-02","DEN",102,129,32,67,0.47761194029850745,16,32,0.5,0.5,17,36,28,45,3,0.5625,0.72,0.9375,0.32323232323232326,0.5281676767676768,0.5656565656565656,0.5871559633027523,14,8,0.11940298507462686,0,0
"2024-11-04","CHI",102,126,31,58,0.5344827586206896,14,37,0.3783783783783784,0.3783783783783784,22,44,18,42,0,0.7096774193548387,0.7586206896551724,1,0.3894736842105263,0.5805968421052632,0.5473684210526316,0.5952380952380952,4,6,0.10344827586206896,0,0
"2024-11-07","MIL",96,123,28,49,0.5714285714285714,15,35,0.42857142857142855,0.42857142857142855,22,16,40,36,9,0.2857142857142857,0.32,0.8,0.4166666666666667,0.5882029761904762,0.6011904761904762,0.634020618556701,6,4,0.08163265306122448,1,0.02857142857142857
"2024-11-09","SAS",103,110,21,38,0.5526315789473685,17,47,0.3617021276595745,0.3617021276595745,17,32,10,39,12,0.7619047619047619,0.7619047619047619,0.7647058823529411,0.5529411764705883,0.5394017647058824,0.5470588235294118,0.5913978494623656,0,4,0.10526315789473684,0,0
"2024-11-12","PHX",94,120,25,47,0.5319148936170213,18,39,0.46153846153846156,0.46153846153846156,16,16,34,39,15,0.32,0.36363636363636365,0.7222222222222222,0.45348837209302323,0.5127732558139535,0.6046511627906976,0.6185567010309279,6,3,0.06382978723404255,0,0
"2024-11-14","DAL",96,113,31,46,0.6739130434782609,12,39,0.3076923076923077,0.3076923076923077,15,32,30,27,9,0.5161290322580645,0.5517241379310345,0.75,0.4588235294117647,0.5059011764705883,0.5764705882352941,0.6075268817204301,4,2,0.043478260869565216,0,0
"2024-11-16","SAC",94,121,23,42,0.5476190476190477,19,41,0.4634146341463415,0.4634146341463415,18,18,28,45,12,0.391304347826087,0.42857142857142855,0.7894736842105263,0.4939759036144578,0.49972228915662653,0.6204819277108434,0.6368421052631579,4,3,0.07142857142857142,0,0
"2024-11-17","LAC",96,116,35,54,0.6481481481481481,11,40,0.275,0.275,13,42,28,27,6,0.6,0.6774193548387096,0.8181818181818182,0.425531914893617,0.5875675531914893,0.5478723404255319,0.57,8,1,0.018518518518518517,0,0
"2024-11-19","LAL",98,124,28,45,0.6222222222222222,14,31,0.45161290322580644,0.45161290322580644,26,36,20,36,6,0.6428571428571429,0.6923076923076923,0.8571428571428571,0.40789473684210525,0.547775,0.6447368421052632,0.6813186813186813,4,0,0,0,0
"2024-11-21","SAS",106,126,32,56,0.5714285714285714,9,32,0.28125,0.2903225806451613,35,48,16,24,3,0.75,0.75,0.8888888888888888,0.36363636363636365,0.5714862068965517,0.5170454545454546,0.5887850467289719,0,6,0.10714285714285714,1,0.03125
"2024-11-23","NYK",102,106,22,49,0.4489795918367347,17,51,0.3333333333333333,0.3333333333333333,11,18,26,48,3,0.4090909090909091,0.47368421052631576,0.9411764705882353,0.51,0.5116385,0.475,0.5,6,4,0.08163265306122448,0,0
"2024-11-26","SAS",100,128,27,45,0.6,18,48,0.375,0.375,20,30,24,45,9,0.5555555555555556,0.5555555555555556,0.8333333333333334,0.5161290322580645,0.5372430107526882,0.5806451612903226,0.6095238095238096,0,3,0.06666666666666667,1,0.020833333333333332
"2024-11-27","DEN",93,122,35,51,0.6862745098039216,11,33,0.3333333333333333,0.3333333333333333,19,40,30,30,3,0.5714285714285714,0.6451612903225806,0.9090909090909091,0.39285714285714285,0.5206999999999999,0.6130952380952381,0.6436170212765957,8,5,0.09803921568627451,0,0
