"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2024-11-10","MEM",109,134,31,42,0.7380952380952381,16,43,0.37209302325581395,0.37209302325581395,24,32,30,48,0,0.5161290322580645,0.5161290322580645,1,0.5058823529411764,0.5582064705882352,0.6470588235294118,0.6767676767676768,0,3,0.07142857142857142,0,0
"2024-11-12","MIN",100,108,24,38,0.631578947368421,13,35,0.37142857142857144,0.37142857142857144,21,26,22,27,12,0.5416666666666666,0.5652173913043478,0.6923076923076923,0.4794520547945205,0.5684780821917808,0.5958904109589042,0.6506024096385542,2,6,0.15789473684210525,1,0.02857142857142857
"2024-11-13","MIN",101,98,30,55,0.5454545454545454,7,39,0.1794871794871795,0.1794871794871795,17,20,40,18,3,0.3333333333333333,0.4,0.8571428571428571,0.4148936170212766,0.5694702127659574,0.4308510638297872,0.47115384615384615,10,10,0.18181818181818182,0,0
"2024-11-17","ATL",102,110,28,53,0.5283018867924528,11,32,0.34375,0.34375,21,38,18,33,0,0.6785714285714286,0.7307692307692307,1,0.3764705882352941,0.5779982352941176,0.5235294117647059,0.5729166666666666,4,9,0.16981132075471697,1,0.03125
"2024-11-20","OKC",98,109,31,60,0.5166666666666667,9,31,0.2903225806451613,0.2903225806451613,20,30,32,27,0,0.4838709677419355,0.5,1,0.34065934065934067,0.5589615384615384,0.489010989010989,0.5396039603960396,2,6,0.1,1,0.03225806451612903
"2024-11-22","HOU",102,116,27,54,0.5,15,39,0.38461538461538464,0.38461538461538464,17,26,28,42,3,0.48148148148148145,0.5416666666666666,0.9333333333333333,0.41935483870967744,0.5588010752688172,0.532258064516129,0.5576923076923077,6,7,0.12962962962962962,1,0.02564102564102564
"2024-11-23","HOU",98,98,24,58,0.41379310344827586,8,32,0.25,0.25,26,20,28,21,3,0.4166666666666667,0.45454545454545453,0.875,0.35555555555555557,0.517305,0.4,0.46226415094339623,4,12,0.20689655172413793,0,0
"2024-11-25","MEM",103,123,31,59,0.5254237288135594,12,28,0.42857142857142855,0.42857142857142855,25,46,16,36,0,0.7419354838709677,0.8846153846153846,1,0.3218390804597701,0.585325,0.5632183908045977,0.6089108910891089,10,7,0.11864406779661017,0,0
"2024-11-27","IND",92,121,33,62,0.532258064516129,13,32,0.40625,0.40625,16,36,30,27,12,0.5454545454545454,0.6,0.6923076923076923,0.3404255319148936,0.5805877659574468,0.5585106382978723,0.5817307692307693,6,5,0.08064516129032258,0,0
"2024-11-29","SAC",97,106,20,36,0.5555555555555556,15,42,0.35714285714285715,0.35714285714285715,21,28,12,45,0,0.7,0.7368421052631579,1,0.5384615384615384,0.5363410256410257,0.5448717948717948,0.5955056179775281,2,3,0.08333333333333333,0,0
"2024-12-01","DAL",102,137,30,51,0.5882352941176471,18,36,0.5,0.5,23,36,24,45,9,0.6,0.6,0.8333333333333334,0.41379310344827586,0.5685252873563218,0.6551724137931034,0.6919191919191919,0,0,0,0,0
"2024-12-03","LAC",90,127,28,48,0.5833333333333334,19,37,0.5135135135135135,0.5277777777777778,14,28,28,45,12,0.5,0.5185185185185185,0.7894736842105263,0.43529411764705883,0.5313696428571428,0.6647058823529411,0.6902173913043478,2,4,0.08333333333333333,0,0
"2024-12-06","UTA",103,141,39,64,0.609375,14,32,0.4375,0.45161290322580644,21,42,36,39,3,0.5384615384615384,0.6176470588235294,0.9285714285714286,0.3333333333333333,0.58644,0.625,0.6778846153846154,10,7,0.109375,0,0
"2024-12-08","LAL",96,107,25,49,0.5102040816326531,13,34,0.38235294117647056,0.38235294117647056,18,34,16,24,15,0.68,0.7083333333333334,0.6153846153846154,0.40963855421686746,0.5336650602409638,0.536144578313253,0.5752688172043011,2,3,0.061224489795918366,0,0
"2024-12-13","SAS",96,118,30,55,0.5454545454545454,14,30,0.4666666666666667,0.4827586206896552,16,38,22,39,3,0.6333333333333333,0.76,0.9285714285714286,0.35294117647058826,0.520489880952381,0.6,0.6210526315789474,10,5,0.09090909090909091,0,0
"2024-12-15","PHX",98,116,28,50,0.56,15,39,0.38461538461538464,0.38461538461538464,15,22,34,36,9,0.39285714285714285,0.44,0.8,0.43820224719101125,0.5057443820224719,0.5674157303370787,0.5918367346938775,6,4,0.08,0,0
"2024-12-19","DEN",99,124,32,53,0.6037735849056604,15,34,0.4411764705882353,0.4411764705882353,15,44,20,39,6,0.6875,0.7333333333333333,0.8666666666666667,0.39080459770114945,0.5575729885057471,0.6264367816091954,0.6391752577319587,4,7,0.1320754716981132,0,0
"2024-12-21","SAS",96,114,34,57,0.5964912280701754,10,36,0.2777777777777778,0.2777777777777778,16,48,20,27,3,0.7058823529411765,0.7741935483870968,0.9,0.3870967741935484,0.5607451612903226,0.5268817204301075,0.57,6,3,0.05263157894736842,0,0
"2024-12-23","DAL",99,132,36,54,0.6666666666666666,12,36,0.3333333333333333,0.34285714285714286,24,34,38,30,6,0.4722222222222222,0.4857142857142857,0.8333333333333334,0.4,0.5436241573033708,0.6,0.6407766990291263,2,1,0.018518518518518517,0,0
